id_version,id_model,date_max
02169830f60123df61cfde056c7a011bf891b9e874ae78129977531f254b48ef,4f75aada913371f499c2d355fdaf64e1f9c478c4d41a13fa27e9a1f302321331,2024-11-28 00:00:00+00:00
0432b7ade46c9029c421354dcb8da8940eb0d762b00619e14828a941881c738f,6edd64f9178a993e7c4a8e5f10ee347ee889c0e7733debae13975e7937602b68,2024-11-28 00:00:00+00:00
0480ff82f93c80be3d93b190a6cf02030c9a6856a6d3b4272aa2215d16c137c6,2d3415a6e9905e7358bb0ec2d0768a20471f1b7970350db1e1ef10a9ab7b4da9,2024-11-28 00:00:00+00:00
8b3408f4ef5a5ef7566cf8aa331492c71ae7d154795b0c0fe22119c098375264,2d3415a6e9905e7358bb0ec2d0768a20471f1b7970350db1e1ef10a9ab7b4da9,2023-10-26 00:00:00+00:00
04b1f580c27a65962ebcfb437c1be8432fe3e2645af22889233440934c087557,e93bbdd96322eff74f992d45ca74c5654f7581ef6e4d9280683800dd771d6431,2022-09-22 00:00:00+00:00
8e77213fab9154facf78e5dc6a24280f77a0bfce5eaa6eebb19b2a616513e70d,682b158d317e1df582bd311abc19a2b66eadd6a8bfba5eae86253f3803e5f6f6,2023-02-16 00:00:00+00:00
d05d691e2608c61a6cadb1405d8dab7f77f574436e8bf089ebc71e44743d7119,e93bbdd96322eff74f992d45ca74c5654f7581ef6e4d9280683800dd771d6431,2022-07-14 00:00:00+00:00
053176d27ec28fff4849ace644ff564c91db0354bcefa572766a72c325eba005,47973c90a328daa7c4de47a07c76525c1bc9e13f7549893b074be8570d215144,2024-04-19 00:00:00+00:00
a3f54538c0ea97beb17e6875757d1eedb7b74cb26fdf3780ad81f1a6a7b70818,6edd64f9178a993e7c4a8e5f10ee347ee889c0e7733debae13975e7937602b68,2023-02-16 00:00:00+00:00
056b7757a276af5080e87f2f889381345235b050dfb79a96ee684defd435d759,05b002dffe9019ff41d461b55dd87896305e5158e6b78baadca7412fe948d833,2023-07-13 00:00:00+00:00
27ab50efd2b228230f94b4c870120eab46ed9bca243cd746d697e657468e8ea3,c2671ff4c0077dbc069714697f6ee19502be448cd4f010131a581fa1743003e6,2024-06-20 00:00:00+00:00
066cb2ca9190e45ff606c5158caf5bdcf843c7df4fcd5c665a52d32632c9ef9f,4f75aada913371f499c2d355fdaf64e1f9c478c4d41a13fa27e9a1f302321331,2024-05-24 00:00:00+00:00
5d0b97cf4696fabee4348a0f8da265b504997073a3000291ee2105e52a45430c,4f75aada913371f499c2d355fdaf64e1f9c478c4d41a13fa27e9a1f302321331,2022-11-23 00:00:00+00:00
06fd565f3f6fe683b73684b5aeea12f216ae92f36ba7506d8667d35dedc6e75a,8778ee48d7a9fe7cfe66d70a618e1729370f969932a84fa382ba9cd689df0201,2022-10-03 00:00:00+00:00
df4b76a9eb00f39afa4de477ebdb05196c3e9a0c1b4bfb5e2027ee7b7c78a2f1,65d841e7ca246cad4cd31c0a508d8afe1ea0e9b9518bae6428460bf8687157ae,2022-12-02 00:00:00+00:00
08ac81c5fc16941237a3ab384d987f6a5ea101a62de08b9cf99a2963d3aee0fd,682b158d317e1df582bd311abc19a2b66eadd6a8bfba5eae86253f3803e5f6f6,2024-07-25 00:00:00+00:00
08d824ca20ad2cee089a100578f8652a6b3273845f501c3f3e1b85fbc79f0bd1,92e5b74cb5c882e09b09ffdb05d1e57880e25f2f1c5ce9585cdc2db80b770c51,2024-11-28 00:00:00+00:00
